 	Area	Mean	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
42	29	255	255	255	309.190	21.052	309.190	21.052	19.314	306	18	6	6	6.984	5.287	38.325	0.977	1.321	0.757	0.906
43	1	255	255	255	80.500	19.500	80.500	19.500	2.828	80	19	1	1	1.128	1.128	0	1	1	1.000	1
44	11	255	255	255	225.591	20.682	225.591	20.682	13.314	223	19	5	4	5.426	2.581	33.019	0.780	2.102	0.476	0.759
45	29	255	255	255	167.500	23.914	167.500	23.914	19.556	164	21	7	6	7.758	4.759	151.500	0.953	1.630	0.613	0.853
46	4	255	255	255	181	22	181	22	5.657	180	21	2	2	2.257	2.257	0	1	1	1.000	1
47	2	255	255	255	89	22.500	89	22.500	4.243	88	22	2	1	2.257	1.128	0	1	2	0.500	1
48	5	255	255	255	95.300	22.900	95.300	22.900	7.071	94	22	3	2	3.144	2.025	18.435	1	1.553	0.644	0.909
49	20	255	255	255	397.400	24.450	397.400	24.450	15.314	395	22	5	5	5.251	4.849	63.435	1	1.083	0.923	0.889
50	23	255	255	255	17.804	26.283	17.804	26.283	18.142	15	23	5	7	6.564	4.462	80.828	0.878	1.471	0.680	0.836
51	69	255	255	255	37.717	30.370	37.717	30.370	42.527	32	23	11	14	12.823	6.851	120.308	0.479	1.871	0.534	0.693
52	45	255	255	255	374.967	27.722	374.967	27.722	24.142	372	23	6	9	8.987	6.376	87.176	0.970	1.410	0.709	0.928
53	12	255	255	255	144.417	26.250	144.417	26.250	13.314	142	24	5	4	4.627	3.302	150.945	0.851	1.401	0.714	0.774
54	10	255	255	255	173.700	26.500	173.700	26.500	10.485	172	25	4	3	3.966	3.210	0	1	1.236	0.809	0.909
55	33	255	255	255	357.773	29.045	357.773	29.045	21.556	355	25	6	8	7.827	5.368	61.089	0.892	1.458	0.686	0.846
56	1	255	255	255	42.500	26.500	42.500	26.500	2.828	42	26	1	1	1.128	1.128	0	1	1	1.000	1
57	16	255	255	255	242.500	28	242.500	28	13.314	240	26	5	4	4.963	4.105	0	1	1.209	0.827	0.889
58	9	255	255	255	388.389	29.167	388.389	29.167	10.485	387	27	3	4	3.919	2.924	69.699	1	1.340	0.746	0.857
59	4	255	255	255	363.250	29.500	363.250	29.500	7.657	362	28	2	3	2.734	1.863	90.000	0.857	1.468	0.681	0.800
60	12	255	255	255	299.500	30.917	299.500	30.917	13.314	297	29	5	4	5.096	2.998	42.788	0.851	1.699	0.588	0.800
61	33	255	255	255	124.318	33.167	124.318	33.167	23.556	120	30	8	6	8.067	5.208	166.055	0.747	1.549	0.646	0.825
62	4	255	255	255	141	31	141	31	5.657	140	30	2	2	2.257	2.257	0	1	1	1.000	1
63	4	255	255	255	28.750	32.500	28.750	32.500	7.657	28	31	2	3	2.734	1.863	90.000	0.857	1.468	0.681	0.800
64	24	255	255	255	303.583	34.542	303.583	34.542	18.142	301	31	5	7	6.417	4.762	68.165	0.916	1.348	0.742	0.842
65	1	255	255	255	379.500	31.500	379.500	31.500	2.828	379	31	1	1	1.128	1.128	0	1	1	1.000	1
66	10	255	255	255	175.700	33.800	175.700	33.800	11.071	174	32	3	4	4.456	2.857	108.222	1	1.559	0.641	0.909
67	8	255	255	255	186.375	35.250	186.375	35.250	13.314	184	33	5	4	5.940	1.715	30.488	0.567	3.464	0.289	0.615
68	3	255	255	255	213.833	35.167	213.833	35.167	5.657	213	34	2	2	2.365	1.615	135.000	1	1.464	0.683	0.857
69	5	255	255	255	366.500	35.500	366.500	35.500	8.485	365	34	3	3	2.523	2.523	0	0.873	1	1.000	0.714
70	114	255	255	255	296.228	42.781	296.228	42.781	47.941	290	36	13	15	16.068	9.034	117.253	0.623	1.779	0.562	0.794
71	2	255	255	255	58	37.500	58	37.500	4.243	57	37	2	1	2.257	1.128	0	1	2	0.500	1
72	15	255	255	255	215.967	39.367	215.967	39.367	13.314	214	37	4	5	4.640	4.116	75.964	1	1.127	0.887	0.857
73	1	255	255	255	203.500	40.500	203.500	40.500	2.828	203	40	1	1	1.128	1.128	0	1	1	1.000	1
74	9	255	255	255	238.944	41.833	238.944	41.833	10.485	237	40	4	3	4.196	2.731	173.953	1	1.536	0.651	0.857
75	15	255	255	255	252.900	43.167	252.900	43.167	18.728	250	40	5	6	6.157	3.102	52.988	0.537	1.985	0.504	0.698
76	64	255	255	255	312.125	46.484	312.125	46.484	28.971	308	42	9	9	9.903	8.229	119.352	0.958	1.203	0.831	0.914
77	8	255	255	255	166.625	44.375	166.625	44.375	9.071	165	43	3	3	3.538	2.879	135.000	1	1.229	0.814	0.941
78	10	255	255	255	99	46.500	99	46.500	10.485	97	45	4	3	4.444	2.865	26.565	1	1.551	0.645	0.909
79	15	255	255	255	281.500	47.900	281.500	47.900	14.728	279	45	5	5	4.688	4.074	90.000	0.869	1.151	0.869	0.789
80	3	255	255	255	201.833	47.833	201.833	47.833	5.657	201	47	2	2	2.365	1.615	45.000	1	1.464	0.683	0.857
81	2	255	255	255	43.500	49	43.500	49	4.828	43	48	1	2	2.257	1.128	90	1	2	0.500	1
82	1	255	255	255	122.500	49.500	122.500	49.500	2.828	122	49	1	1	1.128	1.128	0	1	1	1.000	1
83	2	255	255	255	1.500	51	1.500	51	4.828	1	50	1	2	2.257	1.128	90	1	2	0.500	1
84	5	255	255	255	337.100	51.300	337.100	51.300	7.657	336	50	2	3	3.144	2.025	108.435	1	1.553	0.644	0.909
85	8	255	255	255	62.375	52.375	62.375	52.375	9.071	61	51	3	3	3.538	2.879	45.000	1	1.229	0.814	0.941
86	4	255	255	255	183.500	54.250	183.500	54.250	7.071	182	53	3	2	2.734	1.863	0	1	1.468	0.681	0.800
87	24	255	255	255	309.167	56.375	309.167	56.375	16.728	306	54	6	5	6.111	5.001	160.395	1	1.222	0.818	0.906
88	49	255	255	255	316.622	58.827	316.622	58.827	26.385	313	54	7	9	9.670	6.452	115.038	0.885	1.499	0.667	0.899
89	4	255	255	255	155	56	155	56	5.657	154	55	2	2	2.257	2.257	0	1	1	1.000	1
90	3	255	255	255	196.500	57.500	196.500	57.500	6.828	196	56	1	3	3.385	1.128	90	0.809	3	0.333	1
91	3	255	255	255	329.500	57.500	329.500	57.500	6.828	329	56	1	3	3.385	1.128	90	0.809	3	0.333	1
92	3	255	255	255	101.833	57.833	101.833	57.833	5.657	101	57	2	2	2.365	1.615	45.000	1	1.464	0.683	0.857
93	95	255	255	255	204.026	66.500	204.026	66.500	44.284	199	58	9	18	15.741	7.684	92.900	0.609	2.048	0.488	0.805
94	17	255	255	255	252.853	60.265	252.853	60.265	15.556	250	58	6	5	6.209	3.486	34.823	0.883	1.781	0.561	0.773
95	20	255	255	255	114.400	61.200	114.400	61.200	15.899	112	59	5	5	5.446	4.675	159.090	0.994	1.165	0.858	0.889
96	41	255	255	255	232.646	62.378	232.646	62.378	23.314	229	59	7	7	7.600	6.869	97.654	0.948	1.106	0.904	0.911
97	12	255	255	255	298.917	61.250	298.917	61.250	13.314	297	59	4	5	4.605	3.318	105.767	0.851	1.388	0.720	0.774
98	9	255	255	255	171.500	61.500	171.500	61.500	9.657	170	60	3	3	3.385	3.385	0	1	1	1	1
99	8	255	255	255	308.375	61.375	308.375	61.375	9.071	307	60	3	3	3.538	2.879	45.000	1	1.229	0.814	0.941
100	5	255	255	255	399.700	62.100	399.700	62.100	7.657	398	61	3	2	3.144	2.025	18.435	1	1.553	0.644	0.909
101	9	255	255	255	226.056	64.833	226.056	64.833	11.314	224	63	4	4	5.150	2.225	40.269	0.884	2.314	0.432	0.783
102	18	255	255	255	244.889	66.556	244.889	66.556	19.314	243	63	4	7	7.871	2.912	77.241	0.606	2.703	0.370	0.766
103	1	255	255	255	281.500	64.500	281.500	64.500	2.828	281	64	1	1	1.128	1.128	0	1	1	1.000	1
104	1	255	255	255	1.500	67.500	1.500	67.500	2.828	1	67	1	1	1.128	1.128	0	1	1	1.000	1
105	16	255	255	255	47.062	69.625	47.062	69.625	17.556	44	68	7	4	6.178	3.297	17.847	0.652	1.874	0.534	0.762
106	20	255	255	255	375.250	70.750	375.250	70.750	15.314	373	68	5	5	5.142	4.953	135	1	1.038	0.963	0.909
107	19	255	255	255	394.658	70.342	394.658	70.342	14.728	392	68	5	5	5.301	4.564	135.000	1	1.161	0.861	0.884
108	16	255	255	255	72.500	71	72.500	71	13.314	70	69	5	4	4.963	4.105	0	1	1.209	0.827	0.889
109	8	255	255	255	92.375	70.750	92.375	70.750	10.485	91	69	3	4	4.444	2.292	54.645	0.914	1.939	0.516	0.842
110	5	255	255	255	194.900	70.700	194.900	70.700	7.657	194	69	2	3	3.144	2.025	108.435	1	1.553	0.644	0.909
111	7	255	255	255	220.786	70.500	220.786	70.500	9.071	219	69	3	3	3.086	2.888	90.000	1	1.069	0.936	0.875
112	10	255	255	255	59.500	72.300	59.500	72.300	11.071	58	70	3	4	3.966	3.210	90.000	1	1.236	0.809	0.909
113	2	255	255	255	153.500	71	153.500	71	4.828	153	70	1	2	2.257	1.128	90	1	2	0.500	1
114	8	255	255	255	298.250	71.125	298.250	71.125	10.485	296	70	4	3	3.824	2.664	162.704	0.914	1.435	0.697	0.842
115	9	255	255	255	178.056	72.167	178.056	72.167	10.485	176	71	4	3	4.196	2.731	173.953	1	1.536	0.651	0.857
116	6	255	255	255	190	73.500	190	73.500	7.657	189	72	2	3	3.385	2.257	90.000	1	1.500	0.667	1
117	3	255	255	255	154.833	74.167	154.833	74.167	5.657	154	73	2	2	2.365	1.615	135.000	1	1.464	0.683	0.857
118	4	255	255	255	346	74	346	74	5.657	345	73	2	2	2.257	2.257	0	1	1	1.000	1
119	25	255	255	255	158.420	78.340	158.420	78.340	20.728	155	75	7	6	7.565	4.208	31.005	0.731	1.798	0.556	0.746
120	2	255	255	255	328.500	76	328.500	76	4.828	328	75	1	2	2.257	1.128	90	1	2	0.500	1
121	3	255	255	255	0.833	76.833	0.833	76.833	5.657	0	76	2	2	2.365	1.615	45.000	1	1.464	0.683	0.857
122	1	255	255	255	101.500	76.500	101.500	76.500	2.828	101	76	1	1	1.128	1.128	0	1	1	1.000	1
123	1	255	255	255	269.500	77.500	269.500	77.500	2.828	269	77	1	1	1.128	1.128	0	1	1	1.000	1
124	5	255	255	255	276.700	78.100	276.700	78.100	7.657	275	77	3	2	3.144	2.025	18.435	1	1.553	0.644	0.909
125	6	255	255	255	241.500	80	241.500	80	7.657	240	79	3	2	3.385	2.257	0	1	1.500	0.667	1
126	50	255	255	255	317.100	82.360	317.100	82.360	29.556	311	79	11	7	11.154	5.707	177.550	0.719	1.954	0.512	0.820
127	129	255	255	255	371.895	92.903	371.895	92.903	69.497	365	80	16	21	16.701	9.835	126.736	0.336	1.698	0.589	0.573
128	16	255	255	255	392.188	82.312	392.188	82.312	13.899	390	80	4	5	5.130	3.971	85.163	1	1.292	0.774	0.889
129	4	255	255	255	0.750	82.500	0.750	82.500	7.657	0	81	2	3	2.734	1.863	90.000	0.857	1.468	0.681	0.800
130	2	255	255	255	216.500	82	216.500	82	4.828	216	81	1	2	2.257	1.128	90	1	2	0.500	1
131	62	255	255	255	52.742	90.661	52.742	90.661	31.799	48	85	10	10	12.042	6.556	139.325	0.771	1.837	0.544	0.832
132	4	255	255	255	59	86	59	86	5.657	58	85	2	2	2.257	2.257	0	1	1	1.000	1
133	30	255	255	255	10.967	89.900	10.967	89.900	20.142	8	86	6	7	6.934	5.509	77.203	0.929	1.259	0.795	0.857
134	2	255	255	255	232.500	87	232.500	87	4.828	232	86	1	2	2.257	1.128	90	1	2	0.500	1
135	3	255	255	255	236.500	87.500	236.500	87.500	6.828	236	86	1	3	3.385	1.128	90	0.809	3	0.333	1
136	15	255	255	255	310.633	87.967	310.633	87.967	13.314	308	86	5	4	4.640	4.116	165.964	1	1.127	0.887	0.857
137	3	255	255	255	212.500	89.500	212.500	89.500	6.828	212	88	1	3	3.385	1.128	90	0.809	3	0.333	1
138	7	255	255	255	203.786	90.500	203.786	90.500	9.071	202	89	3	3	3.086	2.888	90.000	1	1.069	0.936	0.875
139	23	255	255	255	390.630	94.065	390.630	94.065	21.556	388	90	6	7	7.277	4.024	60.877	0.622	1.808	0.553	0.730
140	5	255	255	255	352.900	92.700	352.900	92.700	7.657	352	91	2	3	3.144	2.025	108.435	1	1.553	0.644	0.909
141	11	255	255	255	224.591	93.864	224.591	93.864	11.071	223	92	3	4	4.384	3.195	105.071	1	1.372	0.729	0.957
142	4	255	255	255	247	94	247	94	5.657	246	93	2	2	2.257	2.257	0	1	1	1.000	1
143	11	255	255	255	202.136	96.045	202.136	96.045	11.314	200	94	4	4	3.994	3.507	71.565	1	1.139	0.878	0.815
144	32	255	255	255	295.969	97.188	295.969	97.188	20.728	293	94	6	7	7.466	5.457	126.910	0.936	1.368	0.731	0.889
145	6	255	255	255	174.333	96.667	174.333	96.667	8.485	173	95	3	3	3.140	2.433	45.000	1	1.291	0.775	0.800
146	13	255	255	255	234.885	96.885	234.885	96.885	11.899	233	95	4	4	4.380	3.779	135.000	1	1.159	0.863	0.897
147	2	255	255	255	282.500	97	282.500	97	4.828	282	96	1	2	2.257	1.128	90	1	2	0.500	1
148	21	255	255	255	37.500	99.500	37.500	99.500	15.314	35	97	5	5	5.171	5.171	0	1	1	1	0.913
149	10	255	255	255	178.300	98.500	178.300	98.500	11.071	176	97	4	3	3.966	3.210	0	1	1.236	0.809	0.909
150	4	255	255	255	197	98.500	197	98.500	7.657	196	97	2	3	3.216	1.583	121.717	0.857	2.031	0.492	0.800
151	8	255	255	255	356.625	98.625	356.625	98.625	9.071	355	97	3	3	3.538	2.879	45.000	1	1.229	0.814	0.941
152	4	255	255	255	32	99	32	99	5.657	31	98	2	2	2.257	2.257	0	1	1	1.000	1
153	15	255	255	255	54.700	101.367	54.700	101.367	16.728	52	98	5	6	6.064	3.150	53.327	0.674	1.925	0.519	0.714
154	19	255	255	255	94.500	100.868	94.500	100.868	15.314	92	98	5	5	5.486	4.410	147.467	1	1.244	0.804	0.884
155	12	255	255	255	184.917	100.250	184.917	100.250	11.899	183	98	4	4	4.424	3.453	32.067	1	1.281	0.780	0.857
156	3	255	255	255	398.167	99.833	398.167	99.833	5.657	397	99	2	2	2.365	1.615	135.000	1	1.464	0.683	0.857
157	5	255	255	255	3.700	101.900	3.700	101.900	7.657	2	101	3	2	3.144	2.025	161.565	1	1.553	0.644	0.909
158	30	255	255	255	10.867	104.500	10.867	104.500	19.556	7	102	8	5	7.891	4.841	11.754	0.986	1.630	0.613	0.882
159	14	255	255	255	24.143	104.571	24.143	104.571	15.314	22	102	4	6	5.614	3.175	93.563	0.750	1.768	0.566	0.757
160	24	255	255	255	80.542	105.792	80.542	105.792	17.314	78	103	5	6	5.766	5.299	111.038	1	1.088	0.919	0.889
161	3	255	255	255	295.167	103.833	295.167	103.833	5.657	294	103	2	2	2.365	1.615	135.000	1	1.464	0.683	0.857
162	6	255	255	255	267.667	105.667	267.667	105.667	8.485	266	104	3	3	3.140	2.433	135.000	1	1.291	0.775	0.800
163	10	255	255	255	134.200	106.800	134.200	106.800	11.314	132	105	4	4	3.975	3.203	135.000	0.982	1.241	0.806	0.800
164	5	255	255	255	46.900	107.300	46.900	107.300	7.657	46	106	2	3	3.144	2.025	71.565	1	1.553	0.644	0.909
165	7	255	255	255	93.500	107.214	93.500	107.214	9.071	92	106	3	3	3.086	2.888	0	1	1.069	0.936	0.875
166	16	255	255	255	235.125	110.688	235.125	110.688	13.899	233	108	4	5	5.652	3.604	58.039	1	1.568	0.638	0.914
167	21	255	255	255	74.262	112.214	74.262	112.214	16.728	72	109	5	6	5.523	4.841	105.623	0.943	1.141	0.876	0.840
168	11	255	255	255	185.864	110.409	185.864	110.409	11.071	184	109	4	3	4.384	3.195	15.071	1	1.372	0.729	0.957
169	2	255	255	255	84.500	111	84.500	111	4.828	84	110	1	2	2.257	1.128	90	1	2	0.500	1
170	3	255	255	255	305.167	111.167	305.167	111.167	5.657	304	110	2	2	2.365	1.615	45.000	1	1.464	0.683	0.857
171	46	255	255	255	272.957	114.087	272.957	114.087	26.385	268	111	9	7	9.429	6.212	156.304	0.830	1.518	0.659	0.885
172	4	255	255	255	108	114	108	114	5.657	107	113	2	2	2.257	2.257	0	1	1	1.000	1
173	8	255	255	255	45.625	115.375	45.625	115.375	9.071	44	114	3	3	3.538	2.879	135.000	1	1.229	0.814	0.941
174	5	255	255	255	62.700	114.900	62.700	114.900	7.657	61	114	3	2	3.144	2.025	161.565	1	1.553	0.644	0.909
175	9	255	255	255	225.944	116.167	225.944	116.167	11.314	224	114	4	4	3.990	2.872	124.573	0.884	1.390	0.720	0.750
176	8	255	255	255	212.625	116.375	212.625	116.375	9.071	211	115	3	3	3.538	2.879	135.000	1	1.229	0.814	0.941
177	9	255	255	255	217.500	117.500	217.500	117.500	9.657	216	116	3	3	3.385	3.385	0	1	1	1	1
178	3	255	255	255	51.833	118.167	51.833	118.167	5.657	51	117	2	2	2.365	1.615	135.000	1	1.464	0.683	0.857
179	1	255	255	255	167.500	117.500	167.500	117.500	2.828	167	117	1	1	1.128	1.128	0	1	1	1.000	1
180	7	255	255	255	360.500	118.786	360.500	118.786	9.071	359	117	3	3	3.086	2.888	0	1	1.069	0.936	0.875
181	14	255	255	255	349.929	120.429	349.929	120.429	13.314	348	118	4	5	4.701	3.792	110.724	0.993	1.240	0.807	0.824
182	12	255	255	255	394	120	394	120	11.314	392	118	4	4	3.909	3.909	0	1	1	1	0.857
183	5	255	255	255	159.900	120.700	159.900	120.700	7.657	159	119	2	3	3.144	2.025	108.435	1	1.553	0.644	0.909
184	2	255	255	255	370	119.500	370	119.500	4.243	369	119	2	1	2.257	1.128	0	1	2	0.500	1
185	18	255	255	255	96.222	122.111	96.222	122.111	15.314	93	120	6	4	5.698	4.022	12.236	0.965	1.416	0.706	0.878
186	1	255	255	255	273.500	120.500	273.500	120.500	2.828	273	120	1	1	1.128	1.128	0	1	1	1.000	1
187	3	255	255	255	20.167	121.833	20.167	121.833	5.657	19	121	2	2	2.365	1.615	135.000	1	1.464	0.683	0.857
188	6	255	255	255	117.500	122	117.500	122	7.657	116	121	3	2	3.385	2.257	0	1	1.500	0.667	1
189	25	255	255	255	327.980	124.300	327.980	124.300	18.142	325	121	6	6	5.718	5.566	137.450	0.954	1.027	0.973	0.847
190	1	255	255	255	12.500	122.500	12.500	122.500	2.828	12	122	1	1	1.128	1.128	0	1	1	1.000	1
191	4	255	255	255	47.250	123.500	47.250	123.500	7.657	46	122	2	3	2.734	1.863	90.000	0.857	1.468	0.681	0.800
192	2	255	255	255	366.500	123	366.500	123	4.828	366	122	1	2	2.257	1.128	90	1	2	0.500	1
193	20	255	255	255	27.300	125.900	27.300	125.900	18.142	24	123	6	6	6.195	4.110	46.487	0.764	1.507	0.663	0.784
194	6	255	255	255	180.667	126.333	180.667	126.333	8.485	179	125	3	3	3.140	2.433	45.000	1	1.291	0.775	0.800
195	23	255	255	255	160.413	128.587	160.413	128.587	17.314	157	126	6	5	6.154	4.758	29.295	0.964	1.293	0.773	0.885
196	12	255	255	255	266	128	266	128	11.314	264	126	4	4	3.909	3.909	0	1	1	1	0.857
197	10	255	255	255	17.100	128.800	17.100	128.800	11.314	15	127	4	4	5.015	2.539	144.563	0.982	1.976	0.506	0.800
198	2	255	255	255	130.500	128	130.500	128	4.828	130	127	1	2	2.257	1.128	90	1	2	0.500	1
199	1	255	255	255	198.500	127.500	198.500	127.500	2.828	198	127	1	1	1.128	1.128	0	1	1	1.000	1
200	1	255	255	255	32.500	128.500	32.500	128.500	2.828	32	128	1	1	1.128	1.128	0	1	1	1.000	1
201	64	255	255	255	48.562	133.719	48.562	133.719	32.284	43	129	11	10	11.422	7.134	144.862	0.772	1.601	0.625	0.826
202	58	255	255	255	114.586	133.466	114.586	133.466	29.213	110	129	10	9	10.741	6.875	42.269	0.854	1.562	0.640	0.847
203	9	255	255	255	256.167	130.389	256.167	130.389	10.485	254	129	4	3	3.919	2.924	20.301	1	1.340	0.746	0.857
204	5	255	255	255	61.900	131.300	61.900	131.300	7.657	61	130	2	3	3.144	2.025	71.565	1	1.553	0.644	0.909
205	3	255	255	255	154.167	131.167	154.167	131.167	5.657	153	130	2	2	2.365	1.615	45.000	1	1.464	0.683	0.857
206	28	255	255	255	368.071	133.321	368.071	133.321	18.971	365	130	6	7	6.615	5.389	62.192	0.978	1.227	0.815	0.836
207	5	255	255	255	351.100	132.300	351.100	132.300	7.657	350	131	2	3	3.144	2.025	108.435	1	1.553	0.644	0.909
208	32	255	255	255	340.938	135.594	340.938	135.594	22.142	337	132	7	7	7.041	5.786	91.130	0.820	1.217	0.822	0.821
209	1	255	255	255	322.500	135.500	322.500	135.500	2.828	322	135	1	1	1.128	1.128	0	1	1	1.000	1
210	5	255	255	255	357.500	136.500	357.500	136.500	8.485	356	135	3	3	2.523	2.523	0	0.873	1	1.000	0.714
211	10	255	255	255	228.800	138.900	228.800	138.900	12.485	227	136	3	5	4.474	2.846	76.036	0.806	1.572	0.636	0.800
212	7	255	255	255	352.214	137.500	352.214	137.500	8.485	351	136	3	3	3.086	2.888	90.000	1	1.069	0.936	0.875
213	17	255	255	255	153.382	139.029	153.382	139.029	16.728	150	137	6	4	5.750	3.764	179.857	0.763	1.527	0.655	0.810
214	5	255	255	255	382.500	138.500	382.500	138.500	8.485	381	137	3	3	2.523	2.523	0	0.873	1	1.000	0.714
215	11	255	255	255	94.136	139.682	94.136	139.682	11.899	92	138	4	4	4.900	2.859	142.125	0.976	1.714	0.583	0.846
216	33	255	255	255	182.712	141.136	182.712	141.136	20.971	179	138	7	7	7.186	5.847	133.363	0.943	1.229	0.814	0.857
217	8	255	255	255	160.625	140.625	160.625	140.625	9.071	159	139	3	3	3.538	2.879	45.000	1	1.229	0.814	0.941
218	1	255	255	255	59.500	140.500	59.500	140.500	2.828	59	140	1	1	1.128	1.128	0	1	1	1.000	1
219	2	255	255	255	377	140.500	377	140.500	4.243	376	140	2	1	2.257	1.128	0	1	2	0.500	1
220	1	255	255	255	130.500	141.500	130.500	141.500	2.828	130	141	1	1	1.128	1.128	0	1	1	1.000	1
221	1	255	255	255	397.500	142.500	397.500	142.500	2.828	397	142	1	1	1.128	1.128	0	1	1	1.000	1
222	1	255	255	255	151.500	143.500	151.500	143.500	2.828	151	143	1	1	1.128	1.128	0	1	1	1.000	1
223	1	255	255	255	218.500	143.500	218.500	143.500	2.828	218	143	1	1	1.128	1.128	0	1	1	1.000	1
224	6	255	255	255	298	144	298	144	9.071	296	143	4	2	3.988	1.916	18.435	0.916	2.082	0.480	0.857
